ANO_BO,NUM_BO,NUMERO_BOLETIM,BO_INICIADO,BO_EMITIDO,DATAOCORRENCIA,HORAOCORRENCIA,PERIDOOCORRENCIA,DATACOMUNICACAO,DATAELABORACAO,BO_AUTORIA,FLAGRANTE,NUMERO_BOLETIM_PRINCIPAL,LOGRADOURO,NUMERO,BAIRRO,CIDADE,UF,LATITUDE,LONGITUDE,DESCRICAOLOCAL,SOLUCAO,DELEGACIA_NOME,DELEGACIA_CIRCUNSCRICAO,ESPECIE,RUBRICA,STATUS,PLACA_VEICULO,UF_VEICULO,CIDADE_VEICULO,DESCR_COR_VEICULO,DESCR_MARCA_VEICULO,ANO_FABRICACAO,ANO_MODELO,DESCR_TIPO_VEICULO,QUANT_CELULAR,MARCA_CELULAR,ï»¿ANO_BO
2022.0,3704,3704/2022,02/01/2022 10.44,02/01/2022 10.44,31/12/2021,23.3,A NOITE,02/01/2022,02/01/2022 10.44,Desconhecida,Não,NÂO INFORMADO,AVENIDA LEOVIGILDO DIAS VIEIRA,1116.0,ITAGUÁ,UBATUBA,SP,-23.4550208,-45.0618319,Via Pública,BO PARA REGISTRO,DELEGACIA ELETRONICA,DEL.POL.UBATUBA,Título II - Patrimônio (arts. 155 a 183),Roubo (art. 157) - OUTROS,Consumado,NÂO INFORMADO,NÂO INFORMADO,NÂO INFORMADO,NÂO INFORMADO,NÂO INFORMADO,0.0,0.0,NÃO INFORMADO,1.0,APPLE,
2022.0,4944,4944/2022,02/01/2022 15.56,02/01/2022 16.52,01/01/2022,10.21,PELA MANHÃ,02/01/2022,02/01/2022 15.56,Desconhecida,Não,NÂO INFORMADO,AVENIDA aldino schiavi,279.0,CENTRO,CARAGUATATUBA,SP,-23.62806891,-45.41690291,Via pública,BO PARA REGISTRO,DELEGACIA ELETRONICA,DEL.POL.CARAGUATATUBA,Título II - Patrimônio (arts. 155 a 183),Roubo (art. 157) - TRANSEUNTE,Consumado,NÂO INFORMADO,NÂO INFORMADO,NÂO INFORMADO,NÂO INFORMADO,NÂO INFORMADO,0.0,0.0,NÃO INFORMADO,1.0,APPLE,
2022.0,6782,6782/2022,02/01/2022 23.00,02/01/2022 23.01,31/12/2021,16.3,A TARDE,02/01/2022,02/01/2022 23.00,Desconhecida,Não,NÂO INFORMADO,RODOVIA DOUTOR MANOEL HIPÓLITO DO RÊGO,443.0,PRAIA DO SACO,S.SEBASTIAO,SP,-23.69,-45.5564326,Via Pública,BO PARA REGISTRO,DELEGACIA ELETRONICA,02º D.P. S. SEBASTIAO,Título II - Patrimônio (arts. 155 a 183),Roubo (art. 157) - OUTROS,Consumado,NÂO INFORMADO,NÂO INFORMADO,NÂO INFORMADO,NÂO INFORMADO,NÂO INFORMADO,0.0,0.0,NÃO INFORMADO,1.0,MOTOROLA,
2022.0,4,abr/22,02/01/2022 23.06,02/01/2022 23.06,02/01/2022,21.45,A NOITE,02/01/2022,02/01/2022 23.06,Desconhecida,Não,NÂO INFORMADO,Travessa Marquês do Herval,50.0,Centro,PINDAMONHANGABA,SP,-22.9249695,-45.4634093,Via pública,APRECIAÇÃO DO DELEGADO TITULAR,DEL.POL.PLANTÃO PINDA,DEL.POL.PINDAMONHANGABA,Título II - Patrimônio (arts. 155 a 183),Roubo (art. 157) - TRANSEUNTE,Consumado,NÂO INFORMADO,NÂO INFORMADO,NÂO INFORMADO,NÂO INFORMADO,NÂO INFORMADO,0.0,0.0,NÃO INFORMADO,1.0,Samsung,
2022.0,19,19/2022,02/01/2022 23.33,03/01/2022 00.40,02/01/2022,21.3,A NOITE,02/01/2022,02/01/2022 23.33,Desconhecida,Não,NÂO INFORMADO,NÂO INFORMADO,0.0,CIDADE JARDIM,JACAREI,SP,-23.17898976,-45.649605735,Residência,ENCAMINHAMENTO DP ÁREA DO FATO,DEL.SEC.JACAREI PLANTÃO,02º D.P. JACAREI,Título II - Patrimônio (arts. 155 a 183),Roubo (art. 157) - RESIDENCIA,Consumado,NÂO INFORMADO,NÂO INFORMADO,NÂO INFORMADO,NÂO INFORMADO,NÂO INFORMADO,0.0,0.0,NÃO INFORMADO,1.0,Apple,
2022.0,19,19/2022,02/01/2022 23.33,03/01/2022 00.40,02/01/2022,21.3,A NOITE,02/01/2022,02/01/2022 23.33,Desconhecida,Não,NÂO INFORMADO,NÂO INFORMADO,0.0,CIDADE JARDIM,JACAREI,SP,-23.17898976,-45.649605735,Residência,ENCAMINHAMENTO DP ÁREA DO FATO,DEL.SEC.JACAREI PLANTÃO,02º D.P. JACAREI,Título II - Patrimônio (arts. 155 a 183),Roubo (art. 157) - RESIDENCIA,Consumado,NÂO INFORMADO,NÂO INFORMADO,NÂO INFORMADO,NÂO INFORMADO,NÂO INFORMADO,0.0,0.0,NÃO INFORMADO,1.0,Motorola,
2022.0,19,19/2022,02/01/2022 23.33,03/01/2022 00.40,02/01/2022,21.3,A NOITE,02/01/2022,02/01/2022 23.33,Desconhecida,Não,NÂO INFORMADO,NÂO INFORMADO,0.0,CIDADE JARDIM,JACAREI,SP,-23.17898976,-45.649605735,Residência,ENCAMINHAMENTO DP ÁREA DO FATO,DEL.SEC.JACAREI PLANTÃO,02º D.P. JACAREI,Título II - Patrimônio (arts. 155 a 183),Roubo (art. 157) - RESIDENCIA,Consumado,NÂO INFORMADO,NÂO INFORMADO,NÂO INFORMADO,NÂO INFORMADO,NÂO INFORMADO,0.0,0.0,NÃO INFORMADO,1.0,Samsung,
2022.0,19,19/2022,02/01/2022 23.33,03/01/2022 00.40,02/01/2022,21.3,A NOITE,02/01/2022,02/01/2022 23.33,Desconhecida,Não,NÂO INFORMADO,NÂO INFORMADO,0.0,CIDADE JARDIM,JACAREI,SP,-23.17898976,-45.649605735,Residência,ENCAMINHAMENTO DP ÁREA DO FATO,DEL.SEC.JACAREI PLANTÃO,02º D.P. JACAREI,Título II - Patrimônio (arts. 155 a 183),Roubo (art. 157) - RESIDENCIA,Consumado,NÂO INFORMADO,NÂO INFORMADO,NÂO INFORMADO,NÂO INFORMADO,NÂO INFORMADO,0.0,0.0,NÃO INFORMADO,1.0,Xiaomi,
2022.0,19,19/2022,02/01/2022 23.33,03/01/2022 00.40,02/01/2022,21.3,A NOITE,02/01/2022,02/01/2022 23.33,Desconhecida,Não,NÂO INFORMADO,NÂO INFORMADO,0.0,CIDADE JARDIM,JACAREI,SP,-23.17898976,-45.649605735,Residência,ENCAMINHAMENTO DP ÁREA DO FATO,DEL.SEC.JACAREI PLANTÃO,02º D.P. JACAREI,Título II - Patrimônio (arts. 155 a 183),Roubo (art. 157) - RESIDENCIA,Consumado,ENU2707,SP,JACAREI,Preta,CHEVROLET/ONIX 1.0MT LT,2018.0,2019.0,AUTOMOVEL,1.0,Apple,
2022.0,19,19/2022,02/01/2022 23.33,03/01/2022 00.40,02/01/2022,21.3,A NOITE,02/01/2022,02/01/2022 23.33,Desconhecida,Não,NÂO INFORMADO,NÂO INFORMADO,0.0,CIDADE JARDIM,JACAREI,SP,-23.17898976,-45.649605735,Residência,ENCAMINHAMENTO DP ÁREA DO FATO,DEL.SEC.JACAREI PLANTÃO,02º D.P. JACAREI,Título II - Patrimônio (arts. 155 a 183),Roubo (art. 157) - RESIDENCIA,Consumado,ENU2707,SP,JACAREI,Preta,CHEVROLET/ONIX 1.0MT LT,2018.0,2019.0,AUTOMOVEL,1.0,Motorola,
